,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
0,Oprah,Wed Jun 27 02:48:30 +0000 2018,@AshBenton @OWNTV Nope.. not happening. Days are gone by-by.,0.0,0.0,0.0,1.0,100
1,Oprah,Wed Jun 27 02:45:34 +0000 2018,@MawuliChai @chillwillbey @LoveIsOWN @OWNTV So agree with you.,0.5009,0.316,0.0,0.684,99
2,Oprah,Wed Jun 27 02:13:44 +0000 2018,@LoveIsOWN Thank’s y’all. Here’s to Besties🍷🍷🍷! #LOVEis,0.0,0.0,0.0,1.0,98
3,Oprah,Wed Jun 27 02:11:51 +0000 2018,@AshBenton @OWNTV @MaraBrockAkil @thesalimakil Yep I remember.. and my parents always buggin’ .. “ Get off the Phone”!,0.3595,0.142,0.0,0.858,97
4,Oprah,Wed Jun 27 02:09:23 +0000 2018,RT @LoveIsOWN: #LOVEis the permission to design your own relationship. All new episode of Love Is___ TONIGHT! Grab your Yasir or your Nuri…,0.6696,0.17,0.0,0.83,96
5,Oprah,Wed Jun 27 02:05:31 +0000 2018,@3LWTV @OWNTV Love that. #Lovetribe what part of the world are you?,0.6369,0.276,0.0,0.724,95
6,Oprah,Wed Jun 27 02:04:30 +0000 2018,@RichOnOWN I remember by hairdo’s . #LOVEis,0.0,0.0,0.0,1.0,94
7,Oprah,Wed Jun 27 02:02:45 +0000 2018,#LOVEis happening now on @OWNTV,0.0,0.0,0.0,1.0,93
8,Oprah,Tue Jun 26 21:37:46 +0000 2018,TONIGHT! 10/9c on OWN. See ya there! 👋🏾 #LOVEis https://t.co/HhuRJgw1JN,0.5837,0.225,0.0,0.775,92
9,Oprah,Sat Jun 23 17:44:46 +0000 2018,Maria has been my friend since we were both young reporters in Baltimore. Her wisdom and open heart is what the wor… https://t.co/eRxPJnueyQ,0.765,0.239,0.0,0.761,91
10,Oprah,Thu Jun 21 03:02:59 +0000 2018,@DrennaB We love u for watching in all our complexity.,0.6369,0.344,0.0,0.656,90
